"views-field","mobile-label 2","icon-pdf","icon-pdf href","usa-sr-only"
"Denali Commission High Energy Cost Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-denalicommission.pdf","Denali Commission High Energy Cost Grants"
"Disaster Circuit Rider TA Grant","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-wep-cy2022disastercircuitridertagrants.pdf","Disaster Circuit Rider TA Grant"
"Distributed Generation Energy Project Financing","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-distributedgeneration.pdf","Distributed Generation Energy Project Financing"
"Economic Impact Initiative Grants","","","",""
"Electric Infrastructure Loan & Loan Guarantee Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-electricinfrastructure.pdf","Electric Infrastructure Loan & Loan Guarantee Program"
"Emergency Community Water Assistance Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rus-fs-emerg-comm-water-assistance-071025.pdf","Emergency Community Water Assistance Grants"
"Energy Efficiency and Conservation Loan Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-energyefficiencyconservation.pdf","Energy Efficiency and Conservation Loan Program"
"Farm Labor Housing Direct Loans & Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/farmlaborhousingdirectloansgrants-fs-2021.pdf","Farm Labor Housing Direct Loans & Grants"
"Farm Labor Housing Technical Assistance Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-farmlaborhousingta.pdf","Farm Labor Housing Technical Assistance Grants"
"Fertilizer Product Expansion Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-rbcs-fs-508-fpep.pdf","Fertilizer Product Expansion Program"
"Food Supply Chain Guaranteed Loan Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rcbs-foodsupplychainloanguarantee.pdf","Food Supply Chain Guaranteed Loan Program"
"Grants for Rural and Native Alaskan Villages","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-grantsruralnativealaskanvillages.pdf-0","Grants for Rural and Native Alaskan Villages"
"Higher Blends Infrastructure Incentive Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-factsheet-hbiip.pdf","Higher Blends Infrastructure Incentive Program"
"Housing Preservation & Revitalization Demonstration Loans & Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-preservationrevitalization.pdf","Housing Preservation & Revitalization Demonstration Loans & Grants"
"Housing Preservation Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-hpg.pdf","Housing Preservation Grants"
"How to Protect Yourself from Fraud","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-servicingcenterfraudpreventionflyer-fs.pdf","How to Protect Yourself from Fraud"
"Individual Water & Wastewater Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rus-fs-individual-water-wastewater-grants-071025.pdf","Individual Water & Wastewater Grants"
"Intermediary Relending Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rbs-irp.pdf","Intermediary Relending Program"
"Local and Regional Healthy Food Financing Partnerships Grants  The Healthy Food Financing Initiative","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-fs-healthy-foods-financing-initiative.pdf","Local and Regional Healthy Food Financing Partnerships Grants  The Healthy Food Financing Initiative"
"Multi-Family Housing Loan Guarantees","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-mfguarantee.pdf","Multi-Family Housing Loan Guarantees"
"Multi-Family Housing Non-Profit Transfer Technical Assistance Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-nonprofittransferta.pdf","Multi-Family Housing Non-Profit Transfer Technical Assistance Grants"
"Multi-Family Housing Rental Assistance","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-rentalassistance.pdf","Multi-Family Housing Rental Assistance"
"MultiFamily Housing Direct Loans","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-mfhdirectloans.pdf","MultiFamily Housing Direct Loans"
"Multifamily Tenant Voucher Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-508-fs-rhs-mfh-tenantvoucherprogram.pdf","Multifamily Tenant Voucher Program"
"Mutual Self-Help Housing Technical Assistance Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-mshhousingtechasst.pdf","Mutual Self-Help Housing Technical Assistance Grants"
"Native Community Development Financial Institution Relending Demonstration Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-sfh-fs-nativecdfi-relending-program-07022024.pdf","Native Community Development Financial Institution Relending Demonstration Program"
"On-Farm Labor Housing Loans","File:","Download PDF","https://www.rd.usda.gov/media/file/download/04-farm-labor-housing-loans.pdf","On-Farm Labor Housing Loans"
"Priority Housing Access for Displaced Households","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-mfh-priority-housing-displaced-fact-sheet-508-compliant-09262024.pdf","Priority Housing Access for Displaced Households"
"Protect Yourself from Fraud","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-sfh-fraudidentification-fs.pdf","Protect Yourself from Fraud"
"ReConnect Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rus-fs-reconnect-02132025.pdf","ReConnect Program"
"Relending Under the Community Facilities Direct Loan Program","","","",""
"Revolving Funds for Financing Water and Wastewater Projects (Revolving Fund Program)","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-waterwasterlf.pdf","Revolving Funds for Financing Water and Wastewater Projects (Revolving Fund Program)"
"Rural Broadband Access Loan & Loan Guarantee","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-fs-rus-broadband-loans-08042025.pdf","Rural Broadband Access Loan & Loan Guarantee"
"Rural Business Development Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-rbcs-508-rbdg-factsheet.pdf","Rural Business Development Grants"
"Rural Business Investment Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rbs-rbusinvestmentprogram.pdf","Rural Business Investment Program"
"Rural Community Development Initiative Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rcdi-fs-2025.pdf","Rural Community Development Initiative Grants"
"Rural Decentralized Water Systems Grant Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rus-fs-decentalized-water-sys-grant-071025.pdf","Rural Decentralized Water Systems Grant Program"
"Rural Economic Development Loan & Grant Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-fs-rbs-redl.pdf","Rural Economic Development Loan & Grant Program"
"Rural Energy Savings Program (RESP)","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-ruralenergysavings.pdf","Rural Energy Savings Program (RESP)"
"Rural Housing Site Loans","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-ruralhousingsiteloans.pdf","Rural Housing Site Loans"
"Rural Microentrepreneur Assistance","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rbs-rmap.pdf","Rural Microentrepreneur Assistance"
"Rural Placemaking Innovation Challenge (RPIC)","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rbs-ruralplacemakinginnovationchallenge.pdf","Rural Placemaking Innovation Challenge (RPIC)"
"Single Close Construction-to-Permanent Financing","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-rhs-sfhgsinglecloselendersbuildersinfo.pdf","Single Close Construction-to-Permanent Financing"
"Single Family Housing Direct Loan","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rhs-fs-sfhd-09252024.pdf","Single Family Housing Direct Loan"
"Single Family Housing Guaranteed Loan Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rhs-sfhg-fs-10162024.pdf","Single Family Housing Guaranteed Loan Program"
"Single Family Housing Repair Loans & Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-sfh504homerepair.pdf","Single Family Housing Repair Loans & Grants"
"Single Family Housing Rural Disaster Home Repair Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-fs-sfh-rural-disaster-home-repair-grant.pdf","Single Family Housing Rural Disaster Home Repair Grants"
"Single Family Housing Subsidy Recapture (Direct Loans)","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-subsidyrecapturedirectloans.pdf","Single Family Housing Subsidy Recapture (Direct Loans)"
"Socially Disadvantaged Groups Grant","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rbcs-fs-sdgg-06092025.pdf","Socially Disadvantaged Groups Grant"
"Solid Waste Management Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-solidwastemgmtgrants.pdf","Solid Waste Management Grants"
"Special Evaluation Assistance for Rural Communities and Households Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-search.pdf","Special Evaluation Assistance for Rural Communities and Households Grants"
"State Bulk Fuel Revolving Loan Fund","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-statebulkfuel.pdf","State Bulk Fuel Revolving Loan Fund"
"Strategic Economic and Community Development","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rbs-secd.pdf","Strategic Economic and Community Development"
"Telecommunications Infrastructure Loans & Loan Guarantees","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-telecommunicationsloan.pdf","Telecommunications Infrastructure Loans & Loan Guarantees"
"Timber Production and Expansion  Guaranteed Loan Program","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-fs-508-rbcs-tpep-factsheet.pdf","Timber Production and Expansion  Guaranteed Loan Program"
"Tribal College Initiative Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rhs-tribalcollegegrants.pdf","Tribal College Initiative Grants"
"Value Added Producer Grant","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rbcs-fs-vapg-10022024.pdf","Value Added Producer Grant"
"Water & Waste Disposal Loan Guarantees","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-rus-wepguarantee.pdf","Water & Waste Disposal Loan Guarantees"
"Water & Waste Disposal Loans & Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rus-fs-wep-direct-071025.pdf","Water & Waste Disposal Loans & Grants"
"Water & Waste Disposal Predevelopment Planning Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/508-rd-fs-waterwastedisposalpredevplanning.pdf","Water & Waste Disposal Predevelopment Planning Grants"
"Water & Waste Disposal Technical Assistance & Training Grants","File:","Download PDF","https://www.rd.usda.gov/media/file/download/usda-rd-rus-fs-waterwaste-ta-071025.pdf","Water & Waste Disposal Technical Assistance & Training Grants"
"Water and Waste Facility Loans and Grants to Alleviate Health Risks for Colonias","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-fs-rus-wep-alleviatehealthrisksforcolonias.pdf","Water and Waste Facility Loans and Grants to Alleviate Health Risks for Colonias"
"Water and Waste Facility Loans and Grants to Alleviate Health Risks on Tribal Lands","File:","Download PDF","https://www.rd.usda.gov/media/file/download/rd-fs-rus-wep-alleviatehealthrisksfortribal.pdf","Water and Waste Facility Loans and Grants to Alleviate Health Risks on Tribal Lands"
